Xkr4	chr1	3205901	3671498
Gm19938	chr1	3647309	3658904
Rp1	chr1	3999557	4409241
Sox17	chr1	4490931	4497354
Gm37587	chr1	4496551	4499558
Mrpl15	chr1	4773206	4785739
Lypla1	chr1	4807788	4848410
Tcea1	chr1	4857814	4897909
Rgs20	chr1	4909576	5070285
Atp6v1h	chr1	5070018	5162529
Rb1cc1	chr1	6206197	6276648
4732440D04Rik	chr1	6209866	6215293
St18	chr1	6487231	6860940
Pcmtd1	chr1	7088920	7173628
Gm26901	chr1	7349406	7397869
Sntg1	chr1	8361475	9299878
Rrs1	chr1	9545408	9547455
Adhfe1	chr1	9547948	9580673
2610203C22Rik	chr1	9560832	9631175
Mybl1	chr1	9667415	9700209
Vcpip1	chr1	9718622	9748382
1700034P13Rik	chr1	9747648	9791924
Sgk3	chr1	9798107	9900845
Mcmdc2	chr1	9908638	9942085
Snhg6	chr1	9941959	9944118
Tcf24	chr1	9960163	9967932
Ppp1r42	chr1	9968624	10009136
Cops5	chr1	10024601	10038168
Cspp1	chr1	10037987	10136768
Arfgef1	chr1	10137571	10232670
Cpa6	chr1	10324720	10719945
Prex2	chr1	10993465	11303681
A830018L16Rik	chr1	11414105	11975901
Sulf1	chr1	12692277	12861192
Slco5a1	chr1	12866549	12992650
Ncoa2	chr1	13139105	13374083
Tram1	chr1	13564698	13589910
Lactb2	chr1	13623330	13660546
Xkr9	chr1	13668771	13701723
Eya1	chr1	14168954	14310235
Gm9947	chr1	14752937	14776931
Msc	chr1	14753346	14755992
Terf1	chr1	15805646	15844052
Sbspon	chr1	15853862	15892722
Rpl7	chr1	16101295	16104662
Rdh10	chr1	16105774	16133734
Stau2	chr1	16228674	16520112
Ube2w	chr1	16540790	16619489
Eloc	chr1	16641725	16657042
D030040B21Rik	chr1	16657552	16662278
Tmem70	chr1	16665207	16678275
Ly96	chr1	16688051	16709611
Jph1	chr1	16964560	17097889
Crispld1	chr1	17727045	17766344
Tfap2b	chr1	19208914	19238576
Pkhd1	chr1	20057779	20618064
Il17a	chr1	20730905	20734496
Il17f	chr1	20777146	20790617
Mcm3	chr1	20802968	20820312
6720483E21Rik	chr1	20888650	20890473
Paqr8	chr1	20890606	20939650
Efhc1	chr1	20951626	20990841
Tram2	chr1	20996299	21079229
Tmem14a	chr1	21218575	21230167
Gsta3	chr1	21240589	21265661
Gm28836	chr1	21250359	21271593
Khdc1a	chr1	21349641	21352200
Khdc1c	chr1	21368331	21370845
Khdc1b	chr1	21383556	21386373
Kcnq5	chr1	21398403	21961942
Gm27028	chr1	23291537	23291935
Gm29107	chr1	23293729	23294075
Ogfrl1	chr1	23366424	23397772
B3gat2	chr1	23761753	23849158
Smap1	chr1	23844846	23922317
Sdhaf4	chr1	23995939	24005656
Fam135a	chr1	24011093	24100341
Lmbrd1	chr1	24678630	24766301
Gm5524	chr1	27884046	27902396
Gm9898	chr1	30718560	30719962
Phf3	chr1	30802339	30873921
Ptp4a1	chr1	30940302	30949309
4931428L18Rik	chr1	30997842	31222684
Gm37724	chr1	33065130	33066350
Prim2	chr1	33453810	33669795
Rab23	chr1	33719887	33742564
Bag2	chr1	33745484	33757795
